constructorStandingsId,raceId,name,points,position,positionText,wins
1,18,McLaren,14.0,1,1,1
2,18,BMW Sauber,8.0,3,3,0
3,18,Williams,9.0,2,2,0
4,18,Renault,5.0,4,4,0
5,18,Toro Rosso,2.0,5,5,0
6,18,Ferrari,1.0,6,6,0
7,19,McLaren,24.0,1,1,1
8,19,BMW Sauber,19.0,2,2,0
9,19,Williams,9.0,4,4,0
10,19,Renault,6.0,5,5,0
11,19,Toro Rosso,2.0,8,8,0
12,19,Ferrari,11.0,3,3,1
13,19,Toyota,5.0,6,6,0
14,19,Red Bull,2.0,7,7,0
15,19,Honda,0.0,9,9,0
16,19,Force India,0.0,10,10,0
17,19,Super Aguri,0.0,11,11,0
18,20,McLaren,28.0,3,3,1
19,20,BMW Sauber,30.0,1,1,0
20,20,Williams,10.0,4,4,0
21,20,Renault,6.0,6,6,0
22,20,Toro Rosso,2.0,8,8,0
23,20,Ferrari,29.0,2,2,2
24,20,Toyota,8.0,5,5,0
25,20,Red Bull,4.0,7,7,0
26,20,Honda,0.0,9,9,0
27,20,Force India,0.0,10,10,0
28,20,Super Aguri,0.0,11,11,0
29,21,McLaren,34.0,3,3,1
30,21,BMW Sauber,35.0,2,2,0
31,21,Williams,12.0,4,4,0
32,21,Renault,6.0,7,7,0
33,21,Toro Rosso,2.0,9,9,0
34,21,Ferrari,47.0,1,1,3
35,21,Toyota,9.0,5,5,0
36,21,Red Bull,8.0,6,6,0
37,21,Honda,3.0,8,8,0
38,21,Force India,0.0,10,10,0
39,21,Super Aguri,0.0,11,11,0
40,22,McLaren,42.0,3,3,1
41,22,BMW Sauber,44.0,2,2,0
42,22,Williams,13.0,4,4,0
43,22,Renault,9.0,7,7,0
44,22,Toro Rosso,2.0,9,9,0
45,22,Ferrari,63.0,1,1,4
46,22,Toyota,9.0,6,6,0
47,22,Red Bull,10.0,5,5,0
48,22,Honda,3.0,8,8,0
49,22,Force India,0.0,10,10,0
50,22,Super Aguri,0.0,11,11,0
51,23,McLaren,53.0,2,2,2
52,23,BMW Sauber,52.0,3,3,0
53,23,Williams,15.0,4,4,0
54,23,Renault,9.0,7,7,0
55,23,Toro Rosso,6.0,8,8,0
56,23,Ferrari,69.0,1,1,4
57,23,Toyota,9.0,6,6,0
58,23,Red Bull,15.0,5,5,0
59,23,Honda,6.0,9,9,0
60,23,Force India,0.0,10,10,0
61,23,Super Aguri,0.0,11,11,0
62,24,McLaren,53.0,3,3,2
63,24,BMW Sauber,70.0,2,2,1
64,24,Williams,15.0,6,6,0
65,24,Renault,9.0,7,7,0
66,24,Toro Rosso,7.0,9,9,0
67,24,Ferrari,73.0,1,1,4
68,24,Toyota,17.0,5,5,0
69,24,Red Bull,21.0,4,4,0
70,24,Honda,8.0,8,8,0
71,24,Force India,0.0,10,10,0
72,24,Super Aguri,0.0,11,11,0
73,25,McLaren,58.0,3,3,2
74,25,BMW Sauber,74.0,2,2,1
75,25,Williams,15.0,6,6,0
76,25,Renault,12.0,7,7,0
77,25,Toro Rosso,7.0,9,9,0
78,25,Ferrari,91.0,1,1,5
79,25,Toyota,23.0,5,5,0
80,25,Red Bull,24.0,4,4,0
81,25,Honda,8.0,8,8,0
82,25,Force India,0.0,10,10,0
83,25,Super Aguri,0.0,11,11,0
84,26,McLaren,72.0,3,3,3
85,26,BMW Sauber,82.0,2,2,1
86,26,Williams,16.0,6,6,0
87,26,Renault,15.0,7,7,0
88,26,Toro Rosso,7.0,9,9,0
89,26,Ferrari,96.0,1,1,5
90,26,Toyota,25.0,4,4,0
91,26,Red Bull,24.0,5,5,0
92,26,Honda,14.0,8,8,0
93,26,Force India,0.0,10,10,0
94,26,Super Aguri,0.0,11,11,0
95,27,McLaren,86.0,3,3,4
96,27,BMW Sauber,89.0,2,2,1
97,27,Williams,16.0,7,7,0
98,27,Renault,23.0,6,6,0
99,27,Toro Rosso,8.0,9,9,0
100,27,Ferrari,105.0,1,1,5
101,27,Toyota,25.0,4,4,0
102,27,Red Bull,24.0,5,5,0
103,27,Honda,14.0,8,8,0
104,27,Force India,0.0,10,10,0
105,27,Super Aguri,0.0,11,11,0
106,28,McLaren,100.0,2,2,5
107,28,BMW Sauber,90.0,3,3,1
108,28,Williams,16.0,7,7,0
109,28,Renault,31.0,5,5,0
110,28,Toro Rosso,8.0,9,9,0
111,28,Ferrari,111.0,1,1,5
112,28,Toyota,35.0,4,4,0
113,28,Red Bull,24.0,6,6,0
114,28,Honda,14.0,8,8,0
115,28,Force India,0.0,10,10,0
116,28,Super Aguri,0.0,11,11,0
117,29,McLaren,113.0,2,2,5
118,29,BMW Sauber,96.0,3,3,1
119,29,Williams,17.0,7,7,0
120,29,Renault,31.0,5,5,0
121,29,Toro Rosso,11.0,9,9,0
122,29,Ferrari,121.0,1,1,6
123,29,Toyota,41.0,4,4,0
124,29,Red Bull,24.0,6,6,0
125,29,Honda,14.0,8,8,0
126,29,Force India,0.0,10,10,0
127,29,Super Aguri,0.0,11,11,0
128,30,McLaren,119.0,2,2,5
129,30,BMW Sauber,107.0,3,3,1
130,30,Williams,17.0,7,7,0
131,30,Renault,36.0,5,5,0
132,30,Toro Rosso,17.0,8,8,0
133,30,Ferrari,131.0,1,1,7
134,30,Toyota,41.0,4,4,0
135,30,Red Bull,25.0,6,6,0
136,30,Honda,14.0,9,9,0
137,30,Force India,0.0,10,10,0
138,30,Super Aguri,0.0,11,11,0
139,31,McLaren,129.0,2,2,5
140,31,BMW Sauber,117.0,3,3,1
141,31,Williams,17.0,8,8,0
142,31,Renault,41.0,5,5,0
143,31,Toro Rosso,27.0,6,6,1
144,31,Ferrari,134.0,1,1,7
145,31,Toyota,41.0,4,4,0
146,31,Red Bull,26.0,7,7,0
147,31,Honda,14.0,9,9,0
148,31,Force India,0.0,10,10,0
149,31,Super Aguri,0.0,11,11,0
150,32,McLaren,135.0,1,1,5
151,32,BMW Sauber,120.0,3,3,1
152,32,Williams,26.0,8,8,0
153,32,Renault,51.0,4,4,1
154,32,Toro Rosso,31.0,6,6,1
155,32,Ferrari,134.0,2,2,7
156,32,Toyota,46.0,5,5,0
157,32,Red Bull,28.0,7,7,0
158,32,Honda,14.0,9,9,0
159,32,Force India,0.0,10,10,0
160,32,Super Aguri,0.0,11,11,0
161,33,McLaren,135.0,2,2,5
162,33,BMW Sauber,128.0,3,3,1
163,33,Williams,26.0,8,8,0
164,33,Renault,66.0,4,4,2
165,33,Toro Rosso,34.0,6,6,1
166,33,Ferrari,142.0,1,1,7
167,33,Toyota,50.0,5,5,0
168,33,Red Bull,29.0,7,7,0
169,33,Honda,14.0,9,9,0
170,33,Force India,0.0,10,10,0
171,33,Super Aguri,0.0,11,11,0
1643,34,Super Aguri,0.0,11,11,0
1642,34,Force India,0.0,10,10,0
1641,34,Honda,14.0,9,9,0
