qualifyId,raceId,forename,name,number,position,q1,q2,q3
1,18,Lewis,McLaren,22,1,1:26.572,1:25.187,1:26.714
2,18,Robert,BMW Sauber,4,2,1:26.103,1:25.315,1:26.869
3,18,Heikki,McLaren,23,3,1:25.664,1:25.452,1:27.079
4,18,Felipe,Ferrari,2,4,1:25.994,1:25.691,1:27.178
5,18,Nick,BMW Sauber,3,5,1:25.960,1:25.518,1:27.236
6,18,Jarno,Toyota,11,6,1:26.427,1:26.101,1:28.527
7,18,Nico,Williams,7,7,1:26.295,1:26.059,1:28.687
8,18,David,Red Bull,9,8,1:26.381,1:26.063,1:29.041
9,18,Timo,Toyota,12,9,1:26.919,1:26.164,1:29.593
10,18,Sebastian,Toro Rosso,15,10,1:26.702,1:25.842,\N
11,18,Rubens,Honda,17,11,1:26.369,1:26.173,\N
12,18,Fernando,Renault,5,12,1:26.907,1:26.188,\N
13,18,Jenson,Honda,16,13,1:26.712,1:26.259,\N
14,18,Kazuki,Williams,8,14,1:26.891,1:26.413,\N
15,18,Mark,Red Bull,10,15,1:26.914,\N,\N
16,18,Kimi,Ferrari,1,16,1:26.140,\N,\N
17,18,Giancarlo,Force India,21,17,1:27.207,\N,\N
18,18,Sébastien,Toro Rosso,14,18,1:27.446,\N,\N
19,18,Adrian,Force India,20,19,1:27.859,\N,\N
20,18,Takuma,Super Aguri,18,20,1:28.208,\N,\N
21,18,Nelson,Renault,6,21,1:28.330,\N,\N
22,18,Anthony,Super Aguri,19,22,1:29.059,\N,\N
23,19,Felipe,Ferrari,2,1,1:35.347,1:34.412,1:35.748
24,19,Kimi,Ferrari,1,2,1:35.645,1:34.188,1:36.230
25,19,Heikki,McLaren,23,3,1:35.227,1:34.759,1:36.613
26,19,Lewis,McLaren,22,4,1:35.392,1:34.627,1:36.709
27,19,Jarno,Toyota,11,5,1:35.205,1:34.960,1:36.711
28,19,Robert,BMW Sauber,4,6,1:35.794,1:34.811,1:36.727
29,19,Nick,BMW Sauber,3,7,1:35.729,1:34.648,1:36.753
30,19,Mark,Red Bull,10,8,1:35.440,1:34.967,1:37.009
31,19,Fernando,Renault,5,9,1:35.983,1:35.140,1:38.450
32,19,Timo,Toyota,12,10,1:35.891,1:35.000,1:39.656
33,19,Jenson,Honda,16,11,1:35.847,1:35.208,\N
34,19,David,Red Bull,9,12,1:36.058,1:35.408,\N
35,19,Nelson,Renault,6,13,1:36.074,1:35.562,\N
36,19,Rubens,Honda,17,14,1:36.198,1:35.622,\N
37,19,Sebastian,Toro Rosso,15,15,1:36.111,1:35.648,\N
38,19,Nico,Williams,7,16,1:35.843,1:35.670,\N
39,19,Giancarlo,Force India,21,17,1:36.240,\N,\N
40,19,Kazuki,Williams,8,18,1:36.388,\N,\N
41,19,Sébastien,Toro Rosso,14,19,1:36.677,\N,\N
42,19,Takuma,Super Aguri,18,20,1:37.087,\N,\N
43,19,Adrian,Force India,20,21,1:37.101,\N,\N
44,19,Anthony,Super Aguri,19,22,1:37.481,\N,\N
45,20,Robert,BMW Sauber,4,1,1:32.893,1:31.745,1:33.096
46,20,Felipe,Ferrari,2,2,1:31.937,1:31.188,1:33.123
47,20,Lewis,McLaren,22,3,1:32.750,1:31.922,1:33.292
48,20,Kimi,Ferrari,1,4,1:32.652,1:31.933,1:33.418
49,20,Heikki,McLaren,23,5,1:33.057,1:31.718,1:33.488
50,20,Nick,BMW Sauber,3,6,1:33.137,1:31.909,1:33.737
51,20,Jarno,Toyota,11,7,1:32.493,1:32.159,1:33.994
52,20,Nico,Williams,7,8,1:32.903,1:32.185,1:34.015
53,20,Jenson,Honda,16,9,1:32.793,1:32.362,1:35.057
54,20,Fernando,Renault,5,10,1:32.947,1:32.345,1:35.115
55,20,Mark,Red Bull,10,11,1:33.194,1:32.371,\N
56,20,Rubens,Honda,17,12,1:32.944,1:32.508,\N
57,20,Timo,Toyota,12,13,1:32.800,1:32.528,\N
58,20,Nelson,Renault,6,14,1:32.975,1:32.790,\N
59,20,Sébastien,Toro Rosso,14,15,1:33.415,1:32.915,\N
60,20,Kazuki,Williams,8,16,1:33.386,1:32.943,\N
61,20,David,Red Bull,9,17,1:33.433,\N,\N
62,20,Giancarlo,Force India,21,18,1:33.501,\N,\N
63,20,Sebastian,Toro Rosso,15,19,1:33.562,\N,\N
64,20,Adrian,Force India,20,20,1:33.845,\N,\N
65,20,Anthony,Super Aguri,19,21,1:34.140,\N,\N
66,20,Takuma,Super Aguri,18,22,1:35.725,\N,\N
67,21,Kimi,Ferrari,1,1,1:20.701,1:20.784,1:21.813
68,21,Fernando,Renault,5,2,1:21.347,1:20.804,1:21.904
69,21,Felipe,Ferrari,2,3,1:21.528,1:20.584,1:22.058
70,21,Robert,BMW Sauber,4,4,1:21.423,1:20.597,1:22.065
71,21,Lewis,McLaren,22,5,1:21.366,1:20.825,1:22.096
72,21,Heikki,McLaren,23,6,1:21.430,1:20.817,1:22.231
73,21,Mark,Red Bull,10,7,1:21.494,1:20.984,1:22.429
74,21,Jarno,Toyota,11,8,1:21.158,1:20.907,1:22.529
75,21,Nick,BMW Sauber,3,9,1:21.466,1:20.815,1:22.542
76,21,Nelson,Renault,6,10,1:21.409,1:20.894,1:22.699
77,21,Rubens,Honda,17,11,1:21.548,1:21.049,\N
78,21,Kazuki,Williams,8,12,1:21.690,1:21.117,\N
79,21,Jenson,Honda,16,13,1:21.757,1:21.211,\N
80,21,Timo,Toyota,12,14,1:21.427,1:21.230,\N
81,21,Nico,Williams,7,15,1:21.472,1:21.349,\N
82,21,Sébastien,Toro Rosso,14,16,1:21.540,1:21.724,\N
83,21,David,Red Bull,9,17,1:21.810,\N,\N
84,21,Sebastian,Toro Rosso,15,18,1:22.108,\N,\N
85,21,Giancarlo,Force India,21,19,1:22.516,\N,\N
86,21,Adrian,Force India,20,20,1:23.224,\N,\N
87,21,Anthony,Super Aguri,19,21,1:23.318,\N,\N
88,21,Takuma,Super Aguri,18,22,1:23.496,\N,\N
89,22,Felipe,Ferrari,2,1,1:25.994,1:26.192,1:27.617
