constructorResultsId,raceId,name,points,status
1,18,McLaren,14.0,\N
2,18,BMW Sauber,8.0,\N
3,18,Williams,9.0,\N
4,18,Renault,5.0,\N
5,18,Toro Rosso,2.0,\N
6,18,Ferrari,1.0,\N
7,18,Toyota,0.0,\N
8,18,Super Aguri,0.0,\N
9,18,Red Bull,0.0,\N
10,18,Force India,0.0,\N
11,18,Honda,0.0,\N
12,19,Ferrari,10.0,\N
13,19,BMW Sauber,11.0,\N
14,19,McLaren,10.0,\N
15,19,Toyota,5.0,\N
16,19,Red Bull,2.0,\N
17,19,Renault,1.0,\N
18,19,Honda,0.0,\N
19,19,Force India,0.0,\N
20,19,Williams,0.0,\N
21,19,Super Aguri,0.0,\N
22,19,Toro Rosso,0.0,\N
23,20,Ferrari,18.0,\N
24,20,BMW Sauber,11.0,\N
25,20,McLaren,4.0,\N
26,20,Toyota,3.0,\N
27,20,Red Bull,2.0,\N
28,20,Williams,1.0,\N
29,20,Renault,0.0,\N
30,20,Honda,0.0,\N
31,20,Force India,0.0,\N
32,20,Toro Rosso,0.0,\N
33,20,Super Aguri,0.0,\N
34,21,Ferrari,18.0,\N
35,21,McLaren,6.0,\N
36,21,BMW Sauber,5.0,\N
37,21,Red Bull,4.0,\N
38,21,Honda,3.0,\N
39,21,Williams,2.0,\N
40,21,Toyota,1.0,\N
41,21,Force India,0.0,\N
42,21,Super Aguri,0.0,\N
43,21,Renault,0.0,\N
44,21,Toro Rosso,0.0,\N
45,22,Ferrari,16.0,\N
46,22,McLaren,8.0,\N
47,22,BMW Sauber,9.0,\N
48,22,Renault,3.0,\N
49,22,Red Bull,2.0,\N
50,22,Williams,1.0,\N
51,22,Toyota,0.0,\N
52,22,Honda,0.0,\N
53,22,Force India,0.0,\N
54,22,Toro Rosso,0.0,\N
55,23,McLaren,11.0,\N
56,23,BMW Sauber,8.0,\N
57,23,Ferrari,6.0,\N
58,23,Red Bull,5.0,\N
59,23,Toro Rosso,4.0,\N
60,23,Honda,3.0,\N
61,23,Williams,2.0,\N
62,23,Renault,0.0,\N
63,23,Toyota,0.0,\N
64,23,Force India,0.0,\N
65,24,BMW Sauber,18.0,\N
66,24,Red Bull,6.0,\N
67,24,Toyota,8.0,\N
68,24,Ferrari,4.0,\N
69,24,Honda,2.0,\N
70,24,Toro Rosso,1.0,\N
71,24,McLaren,0.0,\N
72,24,Williams,0.0,\N
73,24,Force India,0.0,\N
74,24,Renault,0.0,\N
75,25,Ferrari,18.0,\N
76,25,Toyota,6.0,\N
77,25,McLaren,5.0,\N
78,25,BMW Sauber,4.0,\N
79,25,Red Bull,3.0,\N
80,25,Renault,3.0,\N
81,25,Toro Rosso,0.0,\N
82,25,Honda,0.0,\N
83,25,Williams,0.0,\N
84,25,Force India,0.0,\N
85,26,McLaren,14.0,\N
86,26,BMW Sauber,8.0,\N
87,26,Honda,6.0,\N
88,26,Ferrari,5.0,\N
89,26,Renault,3.0,\N
90,26,Toyota,2.0,\N
91,26,Williams,1.0,\N
92,26,Red Bull,0.0,\N
93,26,Toro Rosso,0.0,\N
94,26,Force India,0.0,\N
95,27,McLaren,14.0,\N
96,27,Renault,8.0,\N
97,27,Ferrari,9.0,\N
98,27,BMW Sauber,7.0,\N
99,27,Toro Rosso,1.0,\N
100,27,Toyota,0.0,\N
101,27,Williams,0.0,\N
102,27,Red Bull,0.0,\N
103,27,Force India,0.0,\N
104,27,Honda,0.0,\N
105,28,McLaren,14.0,\N
106,28,Toyota,10.0,\N
107,28,Ferrari,6.0,\N
108,28,Renault,8.0,\N
109,28,BMW Sauber,1.0,\N
110,28,Red Bull,0.0,\N
111,28,Honda,0.0,\N
112,28,Williams,0.0,\N
113,28,Force India,0.0,\N
114,28,Toro Rosso,0.0,\N
115,29,Ferrari,10.0,\N
116,29,McLaren,13.0,\N
117,29,BMW Sauber,6.0,\N
118,29,Toyota,6.0,\N
119,29,Toro Rosso,3.0,\N
120,29,Williams,1.0,\N
121,29,Renault,0.0,\N
122,29,Red Bull,0.0,\N
123,29,Honda,0.0,\N
124,29,Force India,0.0,\N
125,30,Ferrari,10.0,\N
126,30,BMW Sauber,11.0,\N
127,30,McLaren,6.0,\N
128,30,Renault,5.0,\N
129,30,Toro Rosso,6.0,\N
130,30,Red Bull,1.0,\N
131,30,Toyota,0.0,\N
132,30,Williams,0.0,\N
133,30,Force India,0.0,\N
134,30,Honda,0.0,\N
135,31,Toro Rosso,10.0,\N
136,31,McLaren,10.0,\N
137,31,BMW Sauber,10.0,\N
138,31,Renault,5.0,\N
139,31,Ferrari,3.0,\N
140,31,Red Bull,1.0,\N
141,31,Toyota,0.0,\N
142,31,Williams,0.0,\N
143,31,Honda,0.0,\N
144,31,Force India,0.0,\N
145,32,Renault,10.0,\N
146,32,Williams,9.0,\N
147,32,McLaren,6.0,\N
148,32,Toyota,5.0,\N
149,32,Toro Rosso,4.0,\N
150,32,BMW Sauber,3.0,\N
151,32,Red Bull,2.0,\N
152,32,Honda,0.0,\N
153,32,Ferrari,0.0,\N
154,32,Force India,0.0,\N
155,33,Renault,15.0,\N
156,33,BMW Sauber,8.0,\N
157,33,Ferrari,8.0,\N
158,33,Toyota,4.0,\N
159,33,Toro Rosso,3.0,\N
160,33,Red Bull,1.0,\N
161,33,Williams,0.0,\N
162,33,McLaren,0.0,\N
163,33,Honda,0.0,\N
164,33,Force India,0.0,\N
165,34,McLaren,10.0,\N
166,34,Ferrari,14.0,\N
167,34,Renault,6.0,\N
168,34,BMW Sauber,7.0,\N
169,34,Toyota,2.0,\N
170,34,Toro Rosso,0.0,\N
171,34,Red Bull,0.0,\N
172,34,Honda,0.0,\N
173,34,Williams,0.0,\N
174,34,Force India,0.0,\N
175,35,Ferrari,16.0,\N
176,35,Renault,8.0,\N
177,35,Toro Rosso,5.0,\N
178,35,McLaren,6.0,\N
179,35,Toyota,4.0,\N
180,35,Red Bull,0.0,\N
181,35,BMW Sauber,0.0,\N
182,35,Williams,0.0,\N
183,35,Honda,0.0,\N
184,35,Force India,0.0,\N
185,36,Ferrari,13.0,\N
186,36,McLaren,14.0,D
187,36,BMW Sauber,5.0,\N
188,36,Renault,4.0,\N
189,36,Williams,2.0,\N
190,36,Toyota,1.0,\N
191,36,Honda,0.0,\N
192,36,Super Aguri,0.0,\N
193,36,Red Bull,0.0,\N
194,36,Toro Rosso,0.0,\N
195,36,Spyker,0.0,\N
196,37,McLaren,18.0,D
197,37,Ferrari,10.0,\N
198,37,BMW Sauber,5.0,\N
199,37,Renault,4.0,\N
200,37,Toyota,2.0,\N
201,37,Williams,0.0,\N
202,37,Red Bull,0.0,\N
203,37,Honda,0.0,\N
204,37,Super Aguri,0.0,\N
205,37,Toro Rosso,0.0,\N
206,37,Spyker,0.0,\N
207,38,Ferrari,16.0,\N
208,38,McLaren,12.0,D
209,38,BMW Sauber,8.0,\N
210,38,Toyota,2.0,\N
211,38,Renault,1.0,\N
212,38,Williams,0.0,\N
213,38,Honda,0.0,\N
214,38,Spyker,0.0,\N
215,38,Super Aguri,0.0,\N
216,38,Red Bull,0.0,\N
217,38,Toro Rosso,0.0,\N
218,39,Ferrari,10.0,\N
219,39,McLaren,14.0,D
220,39,BMW Sauber,5.0,\N
221,39,Red Bull,4.0,\N
222,39,Williams,3.0,\N
223,39,Renault,2.0,\N
224,39,Super Aguri,1.0,\N
225,39,Honda,0.0,\N
226,39,Spyker,0.0,\N
227,39,Toyota,0.0,\N
228,39,Toro Rosso,0.0,\N
229,40,McLaren,18.0,D
