raceId,forename,stop,lap,time,duration,milliseconds
841,Jaime,1,1,17:05:23,26.898,26898
841,Michael,1,1,17:05:52,25.021,25021
841,Mark,1,11,17:20:48,23.426,23426
841,Fernando,1,12,17:22:34,23.251,23251
841,Felipe,1,13,17:24:10,23.842,23842
841,Rubens,1,13,17:24:29,23.643,23643
841,Sebastian,1,14,17:25:17,22.603,22603
841,Paul,1,14,17:26:03,24.863,24863
841,Jérôme,1,14,17:26:50,25.259,25259
841,Sébastien,1,15,17:27:34,25.342,25342
841,Nick,1,15,17:27:41,22.994,22994
841,Lewis,1,16,17:28:24,23.227,23227
841,Vitaly,1,16,17:28:39,24.535,24535
841,Nico,1,16,17:29:00,23.716,23716
841,Kamui,1,16,17:29:06,24.064,24064
841,Adrian,1,16,17:29:08,25.978,25978
841,Jarno,1,16,17:29:49,24.899,24899
841,Jenson,1,17,17:30:24,16.867,16867
841,Jaime,2,17,17:31:06,24.463,24463
841,Heikki,1,17,17:31:11,24.865,24865
841,Michael,2,17,17:32:08,23.988,23988
841,Timo,1,18,17:33:02,23.792,23792
841,Jenson,2,19,17:33:53,23.303,23303
841,Sergio,1,23,17:40:27,23.438,23438
841,Rubens,2,23,17:40:45,37.856,37856
841,Mark,2,26,17:44:29,22.520,22520
841,Fernando,2,27,17:46:04,24.733,24733
841,Rubens,3,28,17:49:07,16.892,16892
841,Sébastien,2,29,17:49:47,23.100,23100
841,Nick,2,30,17:51:32,25.098,25098
841,Felipe,2,31,17:52:28,24.500,24500
841,Kamui,2,32,17:54:21,24.192,24192
841,Sebastian,2,36,17:59:17,24.036,24036
841,Lewis,2,36,17:59:29,23.199,23199
841,Jaime,3,35,17:59:45,26.348,26348
841,Vitaly,2,36,17:59:47,25.683,25683
841,Paul,2,36,18:00:48,24.332,24332
841,Jenson,3,37,18:01:49,22.681,22681
841,Adrian,2,37,18:02:15,23.871,23871
841,Jarno,2,37,18:03:55,24.848,24848
841,Jérôme,2,38,18:06:53,26.446,26446
841,Mark,3,41,18:07:37,26.230,26230
841,Rubens,4,40,18:08:03,26.309,26309
841,Fernando,3,42,18:09:08,24.181,24181
841,Felipe,3,48,18:18:54,24.095,24095
842,Adrian,1,3,16:09:07,31.694,31694
842,Rubens,1,3,16:10:04,32.978,32978
842,Mark,1,10,16:21:21,22.572,22572
842,Paul,1,11,16:23:16,22.773,22773
842,Lewis,1,12,16:24:40,22.552,22552
842,Sebastian,1,13,16:26:17,23.019,23019
842,Nick,1,13,16:26:28,23.900,23900
842,Jenson,1,13,16:26:29,22.400,22400
842,Felipe,1,13,16:26:30,29.224,29224
842,Jarno,1,13,16:27:03,25.516,25516
842,Fernando,1,14,16:28:15,23.152,23152
842,Michael,1,14,16:28:34,22.576,22576
842,Vitaly,1,15,16:30:10,23.182,23182
842,Sébastien,1,15,16:30:23,23.280,23280
842,Nico,1,15,16:30:37,24.967,24967
842,Heikki,1,15,16:30:37,29.084,29084
842,Jaime,1,16,16:32:25,23.584,23584
842,Adrian,2,16,16:32:31,22.046,22046
842,Kamui,1,17,16:33:53,23.280,23280
842,Sergio,1,17,16:34:14,23.597,23597
842,Timo,1,17,16:34:28,24.617,24617
842,Jérôme,1,17,16:34:39,26.252,26252
842,Vitantonio,1,17,16:34:56,27.815,27815
842,Rubens,2,17,16:35:41,24.502,24502
842,Sébastien,2,20,16:39:30,29.843,29843
842,Mark,2,22,16:42:37,21.991,21991
842,Jenson,2,23,16:44:11,22.471,22471
842,Lewis,2,24,16:45:48,22.611,22611
842,Paul,2,24,16:46:20,22.419,22419
842,Sebastian,2,25,16:47:27,21.893,21893
842,Fernando,2,26,16:49:19,23.894,23894
842,Nick,2,26,16:49:31,23.221,23221
842,Felipe,2,27,16:51:17,22.541,22541
842,Vitaly,2,27,16:51:25,22.680,22680
842,Michael,2,28,16:53:26,22.261,22261
842,Nico,2,29,16:55:28,22.577,22577
842,Mark,3,32,17:00:01,22.069,22069
842,Jaime,2,32,17:00:55,22.888,22888
842,Adrian,3,32,17:00:56,22.550,22550
842,Sébastien,3,32,17:01:03,27.439,27439
842,Heikki,2,34,17:04:41,23.336,23336
842,Timo,2,34,17:05:19,24.429,24429
842,Jérôme,2,35,17:07:20,24.416,24416
842,Kamui,2,36,17:07:26,23.442,23442
842,Lewis,3,37,17:08:28,25.382,25382
842,Paul,3,37,17:09:21,23.977,23977
842,Jenson,3,38,17:10:13,22.483,22483
842,Felipe,3,38,17:10:28,22.893,22893
842,Nick,3,39,17:12:09,22.602,22602
842,Vitantonio,2,38,17:13:32,26.554,26554
842,Nico,3,40,17:15:05,22.526,22526
842,Sebastian,3,41,17:15:08,22.313,22313
842,Fernando,3,41,17:15:25,23.812,23812
842,Michael,3,42,17:18:08,22.227,22227
842,Mark,4,43,17:19:10,22.161,22161
842,Vitaly,3,44,17:21:08,28.694,28694
842,Fernando,4,46,17:24:24,27.182,27182
842,Vitantonio,3,44,17:25:07,38.823,38823
842,Lewis,4,52,17:34:48,22.466,22466
843,Jaime,1,9,15:19:36,22.419,22419
843,Vitantonio,1,9,15:20:00,14.160,14160
843,Michael,1,10,15:21:12,20.522,20522
843,Mark,1,10,15:21:27,23.442,23442
843,Pastor,1,10,15:21:35,23.160,23160
843,Paul,1,11,15:22:57,21.989,21989
843,Nico,1,12,15:24:32,20.771,20771
843,Sébastien,1,12,15:24:56,22.010,22010
843,Jenson,1,14,15:27:59,23.779,23779
843,Sebastian,1,14,15:28:00,21.995,21995
843,Kamui,1,14,15:28:17,21.855,21855
843,Felipe,1,15,15:29:47,21.624,21624
843,Lewis,1,15,15:29:49,20.878,20878
843,Adrian,1,15,15:30:01,20.989,20989
843,Fernando,1,16,15:31:34,22.524,22524
843,Sergio,1,16,15:31:55,21.473,21473
843,Rubens,1,16,15:32:01,21.709,21709
843,Sébastien,2,16,15:32:19,24.722,24722
843,Timo,1,16,15:32:33,22.683,22683
843,Vitaly,1,17,15:33:36,21.981,21981
843,Nick,1,18,15:35:28,22.216,22216
843,Heikki,1,19,15:37:31,22.485,22485
843,Jarno,1,20,15:39:24,23.029,23029
843,Jérôme,1,20,15:39:50,22.901,22901
843,Vitantonio,2,21,15:42:05,24.467,24467
843,Narain,1,23,15:45:28,26.049,26049
843,Jenson,2,24,15:45:35,20.758,20758
843,Nico,2,25,15:47:13,22.005,22005
843,Lewis,2,25,15:47:20,20.533,20533
843,Mark,2,25,15:47:44,21.132,21132
843,Pastor,2,25,15:48:09,22.062,22062
843,Michael,2,26,15:49:15,21.964,21964
843,Timo,2,28,15:54:22,21.908,21908
843,Adrian,2,30,15:56:26,21.058,21058
843,Kamui,2,30,15:56:28,21.936,21936
843,Nick,2,30,15:56:29,21.821,21821
843,Sebastian,2,31,15:57:37,21.533,21533
843,Fernando,2,32,15:59:39,21.251,21251
843,Paul,2,32,15:59:51,21.218,21218
843,Felipe,2,33,16:01:04,21.168,21168
843,Sébastien,3,33,16:02:13,21.928,21928
843,Jérôme,2,34,16:05:10,22.802,22802
843,Rubens,2,35,16:05:24,21.481,21481
843,Sergio,2,36,16:06:55,23.397,23397
843,Jenson,3,37,16:08:00,21.237,21237
843,Vitaly,2,37,16:08:34,22.005,22005
843,Lewis,3,38,16:09:38,20.567,20567
843,Nico,3,39,16:11:19,20.720,20720
843,Michael,3,39,16:11:49,21.400,21400
843,Mark,3,40,16:13:29,21.091,21091
843,Timo,3,39,16:14:17,33.827,33827
843,Heikki,2,40,16:14:27,21.890,21890
843,Pastor,3,40,16:14:36,27.620,27620
843,Jarno,2,42,16:18:14,22.260,22260
843,Vitantonio,3,45,16:25:39,23.499,23499
843,Adrian,3,47,16:26:24,28.708,28708
843,Sergio,3,48,16:28:01,13.900,13900
843,Sergio,4,50,16:31:39,28.845,28845
844,Sergio,1,1,15:05:18,29.270,29270
844,Michael,1,2,15:06:35,30.182,30182
844,Vitaly,1,8,15:16:06,21.422,21422
844,Felipe,1,9,15:17:37,22.022,22022
844,Lewis,1,9,15:17:38,20.833,20833
844,Sébastien,1,9,15:17:47,21.769,21769
844,Mark,1,10,15:19:04,21.050,21050
844,Fernando,1,10,15:19:05,21.308,21308
844,Nico,1,10,15:19:09,22.573,22573
844,Nick,1,10,15:19:16,22.300,22300
844,Rubens,1,10,15:19:20,22.717,22717
844,Adrian,1,10,15:19:22,21.649,21649
844,Sebastian,1,11,15:20:32,20.623,20623
844,Paul,1,11,15:21:00,20.775,20775
844,Pastor,1,11,15:21:09,23.881,23881
844,Jenson,1,13,15:23:57,21.368,21368
844,Kamui,1,13,15:24:09,21.820,21820
844,Jaime,1,13,15:24:25,22.713,22713
844,Jarno,1,13,15:24:28,23.066,23066
844,Michael,2,14,15:26:02,20.907,20907
844,Narain,1,14,15:26:26,27.353,27353
844,Heikki,1,15,15:27:42,22.854,22854
844,Vitantonio,1,15,15:28:03,24.634,24634
844,Sergio,2,16,15:29:30,22.895,22895
844,Jérôme,1,16,15:29:37,22.779,22779
844,Vitantonio,2,16,15:30:57,56.611,56611
844,Vitaly,2,19,15:33:42,21.323,21323
844,Lewis,2,20,15:35:09,21.075,21075
844,Mark,2,21,15:36:27,20.421,20421
844,Nico,2,22,15:38:24,20.927,20927
